dstport,protocol,tag
23646,hopopts,1GV
46186,hopopts,WTD
23663,hopopts,RM0
19573,hopopts,JIM
19587,hopopts,2HX
50307,hopopts,U52
13446,hopopts,7DW
48276,hopopts,FES
52381,hopopts,SFK
48294,hopopts,MYL
31917,hopopts,FJE
44215,hopopts,8MM
44218,hopopts,QLZ
3267,hopopts,DWF
42185,hopopts,LX7
46286,hopopts,D5L
23772,hopopts,F85
11490,hopopts,E31
54501,hopopts,5EE
5350,hopopts,4I0
64749,hopopts,DU3
19699,hopopts,Z9Q
3317,hopopts,6H0
54518,hopopts,KFT
50422,hopopts,T5M
27895,hopopts,RCS
52474,hopopts,18Z
50427,hopopts,5QV
42261,hopopts,BIM
11545,hopopts,SGL
50462,hopopts,8NS
7461,hopopts,7ND
9515,hopopts,E9H
38192,hopopts,ZPD
58674,hopopts,ZQ4
54588,hopopts,TK0
42304,hopopts,WKL
32066,hopopts,T3Z
42310,hopopts,2TJ
21842,hopopts,I2H
30035,hopopts,1C7
32088,hopopts,P5A
46440,hopopts,D11
7535,hopopts,B3J
23923,hopopts,DU1
30071,hopopts,E0L
40316,hopopts,034
17797,hopopts,OHE
40327,hopopts,751
42393,hopopts,1X3
54683,hopopts,DO1
23969,hopopts,JFF
52645,hopopts,RLF
48550,hopopts,KSW
40358,hopopts,AZT
28072,hopopts,FRS
56744,hopopts,2D7
56745,hopopts,E2X
60847,hopopts,K69
58801,hopopts,27S
7611,hopopts,RV3
36287,hopopts,59T
44484,hopopts,BZ8
7627,hopopts,DJ4
40396,hopopts,YM9
21977,hopopts,ADV
44505,hopopts,K7V
9700,hopopts,CN7
36329,hopopts,BWR
34284,hopopts,1BN
36347,hopopts,NHT
7687,hopopts,2K8
38409,hopopts,E9W
62987,hopopts,ODM
58894,hopopts,LKN
54804,hopopts,24I
30230,hopopts,BFD
58902,hopopts,ZLU
60981,hopopts,FXV
26211,hopopts,ZUL
44644,hopopts,7LJ
26217,hopopts,3XC
3689,hopopts,BYO
13936,hopopts,LYD
34416,hopopts,KSB
30340,hopopts,UWT
46728,hopopts,009
1679,hopopts,GOW
42639,hopopts,X11
22168,hopopts,YV0
13981,hopopts,OCF
59038,hopopts,PW6
18079,hopopts,MM5
34494,hopopts,RHH
63172,hopopts,MEW
24268,hopopts,SI8
46797,hopopts,7OT
14032,hopopts,BIF
36564,hopopts,1HK
42711,hopopts,78F
5868,hopopts,558
5883,hopopts,9WP
12037,hopopts,QXX
40710,hopopts,PB5
65288,hopopts,1I5
34587,hopopts,PBG
12063,hopopts,JDR
65316,hopopts,3G9
48950,hopopts,JUY
26422,hopopts,M2Q
34626,hopopts,G0M
3907,hopopts,XU8
18246,hopopts,GDD
32584,hopopts,TUC
24394,hopopts,D4M
46924,hopopts,7FE
42837,hopopts,K6W
20311,hopopts,EGF
38745,hopopts,NDR
55132,hopopts,S3Y
55138,hopopts,381
28522,hopopts,GK6
36721,hopopts,OWM
3958,hopopts,HTR
61303,hopopts,VFL
14201,hopopts,PKW
36736,hopopts,EAN
26502,hopopts,L8T
34706,hopopts,H4G
55187,hopopts,PRR
30618,hopopts,2SU
6057,hopopts,VR6
24495,hopopts,K1N
24496,hopopts,KYX
16304,hopopts,MTA
12211,hopopts,LOM
22464,hopopts,OL2
53185,hopopts,SER
24518,hopopts,S9B
38855,hopopts,SL8
20443,hopopts,6JK
16349,hopopts,9SH
42974,hopopts,SZG
20453,hopopts,VIN
6124,hopopts,LUX
36857,hopopts,0F0
30726,icmp,Z7K
55305,icmp,ZK8
30732,icmp,C3B
49185,icmp,J0P
55329,icmp,BHZ
4139,icmp,Q36
52,icmp,7BK
61503,icmp,AWP
8263,icmp,ACX
12360,icmp,BKC
20553,icmp,UBP
20554,icmp,WQY
41038,icmp,Z5F
63581,icmp,X9S
51298,icmp,4MU
51301,icmp,0ZR
61542,icmp,MF3
34925,icmp,OQO
34932,icmp,RZL
28788,icmp,C2B
8311,icmp,XAV
51321,icmp,MGA
16510,icmp,XT0
12416,icmp,PA2
61569,icmp,DIG
39046,icmp,33M
6278,icmp,U9W
47239,icmp,01A
22664,icmp,U9C
45204,icmp,N6S
20630,icmp,DVF
10392,icmp,X28
34973,icmp,X8O
55456,icmp,Q5I
59561,icmp,A00
8365,icmp,HBR
26801,icmp,66I
59577,icmp,XR3
24762,icmp,JLC
45244,icmp,9I1
4292,icmp,3VV
47302,icmp,VY4
4296,icmp,6W4
32973,icmp,K1R
61648,icmp,Y5P
14544,icmp,GZA
4309,icmp,RHO
35060,icmp,B4H
63733,icmp,Q6Y
51453,icmp,SDM
26880,icmp,2HO
47362,icmp,3NP
10503,icmp,9Z0
6409,icmp,H8E
35086,icmp,FFN
55567,icmp,HM3
16656,icmp,7D5
12562,icmp,E1W
16659,icmp,RB0
18728,icmp,T8Q
31018,icmp,05B
28979,icmp,JAJ
53559,icmp,GV7
45369,icmp,ACU
316,icmp,REC
43325,icmp,2QF
18750,icmp,11H
10557,icmp,B28
4417,icmp,O27
8517,icmp,LZC
59718,icmp,WJB
41288,icmp,G6W
336,icmp,1TY
39255,icmp,VKL
61785,icmp,S0C
43355,icmp,CNF
53595,icmp,VSS
55648,icmp,R0C
12641,icmp,Q9N
14693,icmp,R7V
22889,icmp,RTJ
57710,icmp,140
35184,icmp,BR4
20852,icmp,310
2425,icmp,EDY
35195,icmp,9P9
61837,icmp,HCS
2450,icmp,XY1
12691,icmp,4T9
27026,icmp,PKE
35226,icmp,M22
37277,icmp,IC9
57764,icmp,JXI
37285,icmp,WYY
6565,icmp,LTJ
16816,icmp,I7V
53682,icmp,ZQS
59828,icmp,Z12
57789,icmp,2BZ
53702,icmp,FJT
47570,icmp,RYM
6612,icmp,RSN
45532,icmp,O5T
477,icmp,Q4T
33251,icmp,0HQ
53731,icmp,361
49641,icmp,XBG
37354,icmp,CGT
37355,icmp,XGT
53748,icmp,2JQ
41465,icmp,GFS
29177,icmp,F8U
61947,icmp,7EU
63996,icmp,QTB
23054,icmp,CPM
2579,icmp,Y3X
10784,icmp,JYR
4663,icmp,ML7
12860,icmp,STA
51776,icmp,7YG
31296,icmp,7B1
19012,icmp,UYT
39515,icmp,3Z9
33379,icmp,980
21093,icmp,X9K
8805,icmp,MRT
618,icmp,NKZ
25199,icmp,Y0A
10867,icmp,V6G
33395,icmp,Q0O
45688,icmp,MN2
12927,icmp,G51
57983,icmp,45V
21122,icmp,DU9
646,icmp,HSL
12936,icmp,2P2
6796,icmp,IVQ
8845,icmp,LZ8
43661,icmp,HXU
43673,icmp,6U9
6815,icmp,22S
27295,icmp,OOF
33445,icmp,ASS
21166,icmp,7QD
27311,icmp,9WG
17106,icmp,A88
8915,icmp,DL7
13018,icmp,0AF
21225,icmp,TCQ
64240,icmp,5OD
2802,icmp,7HH
19193,icmp,ARC
2813,icmp,OI2
47869,icmp,A69
37636,icmp,8FE
2855,icmp,63V
4905,icmp,KBI
29483,icmp,78L
49966,icmp,SKK
13107,icmp,YZU
39744,icmp,NS5
58191,icmp,141
43872,icmp,931
2920,icmp,FMO
37737,icmp,CQ4
58231,icmp,BNF
23425,icmp,ACO
29590,icmp,DGB
2985,icmp,RCW
23472,icmp,XFF
62398,icmp,MN0
41919,icmp,XIR
21442,icmp,S0A
967,icmp,GA9
15308,icmp,R4F
21471,icmp,6DH
9200,icmp,0D1
62451,icmp,OGD
9207,icmp,Y7C
23545,icmp,D5B
15378,icmp,DOA
52275,icmp,SKJ
52281,icmp,L0Q
35913,icmp,RS5
62546,icmp,ENY
11347,icmp,T0Y
37978,icmp,Y6T
23646,icmp,IAA
46186,icmp,TEI
23663,icmp,98G
19573,icmp,FHV
19587,icmp,OD8
50307,icmp,CBB
13446,icmp,5Z5
48276,icmp,CV9
52381,icmp,03U
48294,icmp,O5Y
31917,icmp,484
44215,icmp,TUC
44218,icmp,MEB
3267,icmp,BDA
42185,icmp,348
46286,icmp,ZQG
23772,icmp,I0H
11490,icmp,9MI
54501,icmp,0E8
5350,icmp,KEC
64749,icmp,9UA
19699,icmp,RJT
3317,icmp,0N5
54518,icmp,QZW
50422,icmp,NTL
27895,icmp,FA2
52474,icmp,QMP
50427,icmp,FAO
42261,icmp,KH8
11545,icmp,ZXG
50462,icmp,Q44
7461,icmp,8CG
9515,icmp,OJJ
38192,icmp,TEW
58674,icmp,TQC
54588,icmp,BJ9
42304,icmp,E1C
32066,icmp,RXL
42310,icmp,633
21842,icmp,71D
30035,icmp,BUK
32088,icmp,LAL
46440,icmp,1BN
7535,icmp,AW0
23923,icmp,R07
30071,icmp,4M9
40316,icmp,OCN
17797,icmp,K8R
40327,icmp,CT4
42393,icmp,6I7
54683,icmp,ZZL
23969,icmp,D6S
52645,icmp,U5D
48550,icmp,C8T
40358,icmp,1BJ
28072,icmp,UNS
56744,icmp,221
56745,icmp,DTK
60847,icmp,43I
58801,icmp,DZ9
7611,icmp,6B2
36287,icmp,6IU
44484,icmp,FP2
7627,icmp,F2C
40396,icmp,VZU
21977,icmp,VZQ
44505,icmp,7KD
9700,icmp,WLB
36329,icmp,PVX
34284,icmp,CJ1
36347,icmp,LDP
7687,icmp,U9W
38409,icmp,Z7N
62987,icmp,1WW
58894,icmp,5OH
54804,icmp,1KV
30230,icmp,ZWT
58902,icmp,3PP
60981,icmp,QF9
26211,icmp,YLN
44644,icmp,FI0
26217,icmp,YKL
3689,icmp,R5H
13936,icmp,I2N
34416,icmp,EXN
30340,icmp,ACQ
46728,icmp,5RN
1679,icmp,6JI
42639,icmp,UOV
22168,icmp,GX0
13981,icmp,HV1
59038,icmp,VV7
18079,icmp,G3A
34494,icmp,AVW
63172,icmp,LSD
24268,icmp,WIS
46797,icmp,EW0
14032,icmp,W1L
36564,icmp,V2B
42711,icmp,BUB
5868,icmp,VY8
5883,icmp,PQZ
12037,icmp,OEX
40710,icmp,231
65288,icmp,O9C
34587,icmp,NNJ
12063,icmp,L0X
65316,icmp,CT1
48950,icmp,QF2
26422,icmp,CI3
34626,icmp,FEO
3907,icmp,QQM
18246,icmp,1SV
32584,icmp,BNL
24394,icmp,6MZ
46924,icmp,2Q3
42837,icmp,C7V
20311,icmp,LQU
38745,icmp,W5A
55132,icmp,2WS
55138,icmp,SD1
28522,icmp,L7Y
36721,icmp,IHR
3958,icmp,IAG
61303,icmp,BTO
14201,icmp,EAH
36736,icmp,884
26502,icmp,6KV
34706,icmp,9WI
55187,icmp,CJY
30618,icmp,86M
6057,icmp,E4F
24495,icmp,F1S
24496,icmp,8KO
16304,icmp,FC4
12211,icmp,9G5
22464,icmp,BYK
53185,icmp,62H
24518,icmp,MQG
38855,icmp,HQN
20443,icmp,G4L
16349,icmp,JY8
42974,icmp,8WC
20453,icmp,P11
6124,icmp,RR9
36857,icmp,X6G
30726,igmp,1H4
55305,igmp,KWI
30732,igmp,34B
49185,igmp,N9B
55329,igmp,VRS
4139,igmp,P46
52,igmp,K5A
61503,igmp,367
8263,igmp,UUM
12360,igmp,ROU
20553,igmp,8Y9
20554,igmp,C9K
41038,igmp,FYN
63581,igmp,GBL
51298,igmp,DDF
51301,igmp,WMJ
61542,igmp,4TU
34925,igmp,DA0
34932,igmp,8BD
28788,igmp,NRH
8311,igmp,K7N
51321,igmp,WHK
16510,igmp,7EK
12416,igmp,SL7
61569,igmp,DKQ
39046,igmp,N6L
6278,igmp,KVM
47239,igmp,F73
22664,igmp,B3N
45204,igmp,5RB
20630,igmp,CI7
10392,igmp,55F
34973,igmp,IHK
55456,igmp,838
59561,igmp,7JH
8365,igmp,2UC
26801,igmp,YN9
59577,igmp,ZOA
24762,igmp,EUC
45244,igmp,O5V
4292,igmp,68V
47302,igmp,QJM
4296,igmp,GNY
32973,igmp,PR3
61648,igmp,O6F
14544,igmp,XVF
4309,igmp,V6F
35060,igmp,4YN
63733,igmp,A7Q
51453,igmp,G4N
26880,igmp,AM5
47362,igmp,FMT
10503,igmp,XYQ
6409,igmp,P3F
35086,igmp,P3G
55567,igmp,9NP
16656,igmp,36B
12562,igmp,ILR
16659,igmp,IEE
18728,igmp,9WF
31018,igmp,EMK
28979,igmp,EZ7
53559,igmp,FWU
45369,igmp,XVQ
316,igmp,TH1
43325,igmp,APF
18750,igmp,WVQ
10557,igmp,IQW
4417,igmp,FRZ
8517,igmp,OME
59718,igmp,MPD
41288,igmp,SN1
336,igmp,YND
39255,igmp,BLR
61785,igmp,R5J
43355,igmp,L63
53595,igmp,9MB
55648,igmp,ABX
12641,igmp,U9H
14693,igmp,XRI
22889,igmp,4Z0
57710,igmp,LH5
35184,igmp,QKA
20852,igmp,745
2425,igmp,LYB
35195,igmp,QLW
61837,igmp,YP5
2450,igmp,A5X
12691,igmp,QFL
27026,igmp,M6F
35226,igmp,8KU
37277,igmp,9QS
57764,igmp,9YH
37285,igmp,ZBG
6565,igmp,A7C
16816,igmp,XJB
53682,igmp,JT8
59828,igmp,9TN
57789,igmp,2T4
53702,igmp,CV6
47570,igmp,TXK
6612,igmp,DL4
45532,igmp,HGF
477,igmp,9LX
33251,igmp,7W7
53731,igmp,U9W
49641,igmp,B4Z
37354,igmp,TJX
37355,igmp,RAX
53748,igmp,WM2
41465,igmp,56P
29177,igmp,0Q2
61947,igmp,MWU
63996,igmp,JTG
23054,igmp,MPC
2579,igmp,6FL
10784,igmp,UEK
4663,igmp,YDG
12860,igmp,WSD
51776,igmp,F6Z
31296,igmp,IDO
19012,igmp,0Z9
39515,igmp,3C5
33379,igmp,5AY
21093,igmp,JEJ
8805,igmp,719
618,igmp,O7Q
25199,igmp,CT0
10867,igmp,IXK
33395,igmp,37X
45688,igmp,DA1
12927,igmp,ZXV
57983,igmp,5FO
21122,igmp,941
646,igmp,E7Q
12936,igmp,3X3
6796,igmp,D0D
8845,igmp,34H
43661,igmp,GI7
43673,igmp,R3K
6815,igmp,5M3
27295,igmp,ZIJ
33445,igmp,C9X
21166,igmp,701
27311,igmp,PGL
17106,igmp,1XY
8915,igmp,IDI
13018,igmp,XUJ
21225,igmp,YMQ
64240,igmp,KI5
2802,igmp,D58
19193,igmp,G8L
2813,igmp,0BA
47869,igmp,FP5
37636,igmp,VBM
2855,igmp,ZB2
4905,igmp,VJH
29483,igmp,HF5
49966,igmp,QPQ
13107,igmp,H7Q
39744,igmp,SG9
58191,igmp,UUE
43872,igmp,1U3
2920,igmp,8EX
37737,igmp,UYP
58231,igmp,AP9
23425,igmp,NOO
29590,igmp,4BP
2985,igmp,QP0
23472,igmp,ZUP
62398,igmp,ZGM
41919,igmp,JZW
21442,igmp,1IW
967,igmp,RIJ
15308,igmp,KVL
21471,igmp,ZFI
9200,igmp,E2A
62451,igmp,DY2
9207,igmp,JG1
23545,igmp,F2D
15378,igmp,O7H
52275,igmp,NZ2
52281,igmp,EMM
35913,igmp,HY5
62546,igmp,6WF
11347,igmp,AAA
37978,igmp,CYA
23646,igmp,ZR3
46186,igmp,6AB
23663,igmp,KH6
19573,igmp,R6K
19587,igmp,TPM
50307,igmp,9EO
13446,igmp,BZU
48276,igmp,SK5
52381,igmp,1JD
48294,igmp,VHD
31917,igmp,YDU
44215,igmp,59C
44218,igmp,ZQ4
3267,igmp,06T
42185,igmp,MOM
46286,igmp,PJB
23772,igmp,TRQ
11490,igmp,TIE
54501,igmp,Z7V
5350,igmp,TZD
64749,igmp,ZA7
19699,igmp,6DT
3317,igmp,OG1
54518,igmp,866
50422,igmp,CLX
27895,igmp,45O
52474,igmp,A07
50427,igmp,ZP8
42261,igmp,YDO
11545,igmp,I3J
50462,igmp,3S4
7461,igmp,E8I
9515,igmp,WPR
38192,igmp,W0N
58674,igmp,L9Q
54588,igmp,RSC
42304,igmp,JGB
32066,igmp,MTN
42310,igmp,X2A
21842,igmp,FVJ
30035,igmp,6WA
32088,igmp,8G9
46440,igmp,3T5
7535,igmp,55I
23923,igmp,00H
30071,igmp,OH0
40316,igmp,EJV
17797,igmp,JIF
40327,igmp,WY3
42393,igmp,G0V
54683,igmp,C2T
23969,igmp,L3C
52645,igmp,M7K
48550,igmp,V69
40358,igmp,PV3
28072,igmp,VVJ
56744,igmp,I0M
56745,igmp,EEQ
60847,igmp,YWK
58801,igmp,DN2
7611,igmp,SYV
36287,igmp,1NR
44484,igmp,8LC
7627,igmp,OGJ
40396,igmp,HWB
21977,igmp,8HK
44505,igmp,K9H
9700,igmp,8G5
36329,igmp,E9F
34284,igmp,Z44
36347,igmp,Q3E
7687,igmp,77Q
38409,igmp,VSF
62987,igmp,VJW
58894,igmp,3XM
54804,igmp,8JZ
30230,igmp,02G
58902,igmp,6JL
60981,igmp,3EW
26211,igmp,4FG
44644,igmp,XWM
26217,igmp,E1B
3689,igmp,GLG
13936,igmp,RSA
34416,igmp,116
30340,igmp,Q88
46728,igmp,EQD
1679,igmp,PK0
42639,igmp,PV9
22168,igmp,W95
13981,igmp,YWV
59038,igmp,6FD
18079,igmp,2SK
34494,igmp,RF1
63172,igmp,UPY
24268,igmp,QB3
46797,igmp,VLZ
14032,igmp,WV4
36564,igmp,869
42711,igmp,H56
5868,igmp,LMW
5883,igmp,LBZ
12037,igmp,05H
40710,igmp,J3I
65288,igmp,4T1
34587,igmp,7HI
12063,igmp,LWK
65316,igmp,QWV
48950,igmp,02D
26422,igmp,D52
34626,igmp,IAU
3907,igmp,GLR
18246,igmp,E2C
32584,igmp,FXB
24394,igmp,SLN
46924,igmp,NFN
42837,igmp,NRS
20311,igmp,VU8
38745,igmp,Z44
55132,igmp,MHM
55138,igmp,7VF
28522,igmp,HEK
36721,igmp,S7Y
3958,igmp,AZ4
61303,igmp,I7U
14201,igmp,QJN
36736,igmp,IME
26502,igmp,GY0
34706,igmp,U1G
55187,igmp,LGI
30618,igmp,HPA
6057,igmp,CVB
24495,igmp,UWH
24496,igmp,M53
16304,igmp,9RC
12211,igmp,3NX
22464,igmp,KWI
53185,igmp,P24
24518,igmp,OOD
38855,igmp,S0V
20443,igmp,YSO
16349,igmp,BPI
42974,igmp,I0P
20453,igmp,CXT
6124,igmp,EOX
36857,igmp,D3H
30726,ggp,MGP
55305,ggp,VU0
30732,ggp,JGB
49185,ggp,88Z
55329,ggp,LIT
4139,ggp,LQI
52,ggp,EZ9
61503,ggp,PQI
8263,ggp,5O9
12360,ggp,IFH
20553,ggp,AWY
20554,ggp,BQX
41038,ggp,ZDH
63581,ggp,DZW
51298,ggp,RAY
51301,ggp,QMI
61542,ggp,3VT
34925,ggp,ZXC
34932,ggp,0VJ
28788,ggp,FKU
8311,ggp,KAV
51321,ggp,YZT
16510,ggp,VEE
12416,ggp,J9N
61569,ggp,DC2
39046,ggp,D1N
6278,ggp,PL6
47239,ggp,XMU
22664,ggp,TAD
45204,ggp,XY2
20630,ggp,VIW
10392,ggp,JIQ
34973,ggp,VGU
55456,ggp,FZT
59561,ggp,H69
8365,ggp,MFG
26801,ggp,ZKE
59577,ggp,VBN
24762,ggp,ZEC
45244,ggp,XQC
4292,ggp,FQS
47302,ggp,9WF
4296,ggp,2ZE
32973,ggp,ADL
61648,ggp,2OY
14544,ggp,IMN
4309,ggp,Z04
35060,ggp,VDG
63733,ggp,BB4
51453,ggp,RAU
26880,ggp,IYY
47362,ggp,DQ5
10503,ggp,S5U
6409,ggp,7LM
35086,ggp,DZS
55567,ggp,W9J
16656,ggp,RFM
12562,ggp,KI6
16659,ggp,HKQ
18728,ggp,KCZ
31018,ggp,2OC
28979,ggp,WP0
53559,ggp,6AL
45369,ggp,LX8
316,ggp,E7D
43325,ggp,UKN
18750,ggp,ER8
10557,ggp,O2Z
4417,ggp,BGF
8517,ggp,L69
59718,ggp,H3G
41288,ggp,I2L
336,ggp,QDT
39255,ggp,F5Q
61785,ggp,3AL
43355,ggp,GPD
53595,ggp,NAF
55648,ggp,KXQ
12641,ggp,YO4
14693,ggp,IC5
22889,ggp,EHW
57710,ggp,RRG
35184,ggp,P7I
20852,ggp,5CA
2425,ggp,IPO
35195,ggp,JPX
61837,ggp,BBP
2450,ggp,WT7
12691,ggp,5O1
27026,ggp,GFI
35226,ggp,PQP
37277,ggp,S80
57764,ggp,X1A
37285,ggp,7ID
6565,ggp,4HU
16816,ggp,W0Y
53682,ggp,F9M
59828,ggp,IZ6
57789,ggp,1OH
53702,ggp,17M
47570,ggp,QC5
6612,ggp,7O3
45532,ggp,R9B
477,ggp,SLV
33251,ggp,XYI
53731,ggp,0NJ
49641,ggp,0I2
37354,ggp,5ZK
37355,ggp,NE5
53748,ggp,FAZ
41465,ggp,IV9
29177,ggp,HYY
61947,ggp,KPM
63996,ggp,Z7I
23054,ggp,MFY
2579,ggp,MAL
10784,ggp,DYA
4663,ggp,5SR
12860,ggp,2C0
51776,ggp,9UL
31296,ggp,IAG
19012,ggp,VXZ
39515,ggp,ZFZ
33379,ggp,34U
21093,ggp,HKH
8805,ggp,VO9
618,ggp,E40
25199,ggp,7T0
10867,ggp,XY7
33395,ggp,S3S
45688,ggp,PAM
12927,ggp,0LO
57983,ggp,AJ9
21122,ggp,LGY
646,ggp,O20
12936,ggp,KMD
6796,ggp,FH6
8845,ggp,42Y
43661,ggp,WV3
43673,ggp,TP4
6815,ggp,PXM
27295,ggp,UJ5
33445,ggp,H4E
21166,ggp,JK5
27311,ggp,XQ8
17106,ggp,A7Q
8915,ggp,I7J
13018,ggp,RJU
21225,ggp,X6G
64240,ggp,YPE
2802,ggp,IJO
19193,ggp,6UB
2813,ggp,7HL
47869,ggp,NE9
37636,ggp,OHX
2855,ggp,RP7
4905,ggp,6OJ
29483,ggp,369
49966,ggp,3SM
13107,ggp,R4P
39744,ggp,6VQ
58191,ggp,L7W
43872,ggp,XLM
2920,ggp,7E1
37737,ggp,OZE
58231,ggp,19I
23425,ggp,0XN
29590,ggp,BPR
2985,ggp,DRY
23472,ggp,FAM
62398,ggp,2UJ
41919,ggp,Q0M
21442,ggp,H39
967,ggp,HKN
15308,ggp,LIF
21471,ggp,ITG
9200,ggp,CYU
62451,ggp,8V5
9207,ggp,W30
23545,ggp,V19
15378,ggp,VFZ
52275,ggp,C0Z
52281,ggp,FYP
35913,ggp,H4U
62546,ggp,P5M
11347,ggp,0AO
37978,ggp,NT1
23646,ggp,9YY
46186,ggp,7SL
23663,ggp,J2U
19573,ggp,DGF
19587,ggp,W5T
50307,ggp,N15
13446,ggp,NWH
48276,ggp,LYB
52381,ggp,WSG
48294,ggp,LF8
31917,ggp,9FV
44215,ggp,IIN
44218,ggp,F28
3267,ggp,SLD
42185,ggp,36H
46286,ggp,NGY
23772,ggp,YCP
11490,ggp,2GJ
54501,ggp,5AU
5350,ggp,18V
64749,ggp,M1E
19699,ggp,WVN
3317,ggp,CZW
54518,ggp,RJM
50422,ggp,LQJ
27895,ggp,OTW
52474,ggp,IT4
50427,ggp,S3Z
42261,ggp,8P8
11545,ggp,VEP
50462,ggp,73X
7461,ggp,6AU
9515,ggp,NQ2
38192,ggp,AZP
58674,ggp,N3Y
54588,ggp,KP5
42304,ggp,JC7
32066,ggp,NIT
42310,ggp,PQA
21842,ggp,V3V
30035,ggp,YCI
32088,ggp,VMA
46440,ggp,VD6
7535,ggp,4SI
23923,ggp,MGW
30071,ggp,J9A
40316,ggp,UXY
17797,ggp,ZOX
40327,ggp,659
42393,ggp,NOR
54683,ggp,88B
23969,ggp,2GB
52645,ggp,P8L
48550,ggp,MSN
40358,ggp,TE6
