Port,Protocol,Count
29177,hello,10
8263,hopopts,12
36564,pup,7
45532,icmp,14
6057,xtp,10
21225,dstopts,10
2920,tp,10
6278,ipcomp,10
20554,max,9
62987,gre,17
52275,udp,13
39046,icmp,10
26801,ggp,11
51301,egp,7
44505,raw,16
62398,raw,6
44218,none,14
29590,igmp,14
21442,ggp,14
34973,esp,8
26422,tcp,8
33445,none,11
21225,none,8
41465,ipv6,8
58902,tcp,6
36736,idp,5
2920,ipv6,5
50307,none,9
14544,pup,7
35184,tcp,11
59038,raw,11
24496,rsvp,12
18750,tcp,3
26801,fragment,10
40358,eon,15
20553,pim,10
41919,hello,9
4309,tp,11
28788,ipip,11
23772,pim,6
20443,esp,13
14544,routing,6
40710,ipcomp,10
7461,ipip,9
18750,tp,6
23054,igmp,7
12927,icmp,10
61303,max,10
61303,eon,12
63581,dstopts,12
21471,ggp,8
26422,xtp,15
61785,ipcomp,14
3958,idp,11
28979,pup,5
26217,idp,11
21471,egp,6
37978,pim,9
26880,egp,15
316,max,9
18728,raw,6
27895,rsvp,6
34587,ggp,6
6612,tp,9
43355,ipip,8
52474,idp,9
8805,igmp,3
7687,idp,9
4309,ggp,8
34587,hopopts,11
46924,tp,7
62451,none,11
43355,dstopts,8
618,hopopts,11
36721,idp,12
28979,ggp,11
21442,ipcomp,13
32973,pup,9
50427,raw,8
6565,egp,12
4139,routing,11
61785,ggp,5
12691,rsvp,8
22464,none,11
39255,ipip,14
2813,egp,9
18246,pim,5
9200,ipip,10
12211,udp,15
11347,igmp,6
16656,ipv6,9
61785,hopopts,9
5868,max,3
38192,gre,15
58191,udp,11
35195,ah,12
35060,ipcomp,7
23425,xtp,8
6409,max,8
47362,ggp,8
20311,dstopts,13
51298,sctp,10
61947,xtp,13
19012,sctp,9
37355,ah,9
61648,igmp,6
33251,egp,6
51776,idp,6
23663,ipip,8
15378,icmpv6,9
7461,ipcomp,7
6815,routing,15
15378,udp,10
27026,udp,10
21442,xtp,4
61542,udp,6
21093,pup,8
26422,pup,15
4309,none,12
21471,esp,13
55456,ipip,7
15378,ipcomp,15
18750,pim,8
45369,ipv6,13
40396,ipcomp,20
25199,pim,8
6565,sctp,12
41288,none,6
12691,max,15
3689,ggp,12
4417,max,10
34706,nd,11
3689,none,9
2802,nd,9
14032,none,8
6409,dstopts,9
58902,xtp,10
51301,tcp,10
24268,eon,9
61569,hopopts,6
10392,pup,9
23923,pim,7
40358,pim,11
44218,eon,6
63733,ipv6,10
23646,raw,9
24495,ipv6,11
24394,routing,11
20311,egp,11
53731,icmpv6,10
57983,ah,6
6278,max,9
31018,ipcomp,4
36564,ipip,8
55567,igmp,5
38855,icmpv6,8
42711,pup,9
43325,icmpv6,12
28788,icmp,15
41919,rsvp,7
6612,sctp,13
12211,xtp,13
9700,hello,10
6057,ah,16
35086,tcp,7
58894,tcp,8
35086,ipv6,4
42310,gre,12
10557,hello,5
11490,udp,7
48550,dstopts,11
34626,eon,7
16510,idp,13
44644,pup,6
23646,icmpv6,12
31018,ipv6,5
37285,eon,12
35226,dstopts,9
39744,pim,12
51321,hello,7
41919,tp,9
33379,hopopts,11
27311,icmp,9
21093,tcp,11
58191,pim,7
23646,egp,12
55567,eon,8
26502,ipcomp,9
29177,none,13
48294,xtp,11
6815,hello,12
12641,udp,9
57983,ipv6,7
26211,xtp,10
42837,esp,13
16349,max,7
35913,pim,7
61837,udp,10
65288,ipip,10
26502,udp,9
38409,routing,11
47239,none,11
56744,icmp,10
9207,xtp,12
19699,routing,6
31917,ah,5
23663,dstopts,16
7535,nd,9
7687,xtp,8
45369,xtp,11
53748,icmp,16
34932,eon,9
26502,pup,11
61503,idp,14
26880,none,7
11490,ggp,10
39255,igmp,10
53559,icmpv6,8
50462,max,8
47570,routing,10
967,max,9
30035,ggp,6
16656,routing,13
51453,ipip,14
50462,xtp,8
32973,icmp,10
21977,icmp,10
2579,ah,6
64749,ggp,6
10557,tp,3
36347,routing,13
23472,fragment,7
55132,none,6
57789,icmp,5
58801,none,13
34973,dstopts,9
9207,ipcomp,8
29483,eon,10
21225,ipip,8
24495,max,14
3317,none,5
34494,max,3
23646,dstopts,8
55138,rsvp,7
41465,raw,10
44484,pim,11
34416,gre,7
47570,fragment,9
3317,egp,10
27311,pim,8
40396,tcp,8
4296,udp,13
4417,fragment,9
26801,ipcomp,11
13107,routing,4
54501,sctp,10
56745,pup,2
2920,udp,12
46728,udp,10
42261,pup,8
17106,fragment,13
58231,hello,14
38855,max,12
5868,routing,9
9700,tcp,6
2802,ipcomp,9
62987,routing,6
36857,max,7
39255,raw,10
63172,udp,7
58191,hopopts,9
57764,egp,6
49185,ggp,7
53595,xtp,12
11490,max,12
27026,ipv6,6
4292,eon,10
2855,rsvp,7
47570,udp,7
42393,xtp,12
336,ipip,9
16659,ipip,11
30071,rsvp,10
58674,nd,6
13446,tp,9
41288,hello,12
46286,raw,9
36857,icmpv6,11
53748,ipv6,11
42304,routing,8
477,esp,6
53748,dstopts,10
63733,esp,10
41919,udp,10
12927,hopopts,5
16656,ah,8
9200,igmp,12
28979,xtp,13
11490,igmp,13
61542,nd,14
1679,udp,13
8915,fragment,9
64749,icmpv6,10
9515,tcp,9
55138,ipv6,8
29590,hopopts,12
45688,idp,4
40396,max,10
316,nd,15
2920,igmp,10
53702,ggp,14
6124,pim,17
48294,ipv6,15
19587,hello,6
55138,icmpv6,13
22464,tcp,8
63172,dstopts,11
12641,fragment,14
6409,egp,11
37636,igmp,12
51321,gre,8
2450,hopopts,7
19193,pup,10
37636,idp,12
62546,icmpv6,11
38855,tcp,12
10867,ipip,15
9200,esp,9
35086,igmp,8
62398,dstopts,11
47302,rsvp,8
7687,gre,11
36857,raw,11
34973,raw,15
59828,tp,18
33445,tp,6
18246,ah,7
59718,ipv6,12
54683,pup,11
29177,icmp,11
20443,udp,8
5883,xtp,9
46186,tcp,13
3689,esp,10
25199,igmp,8
58801,icmp,14
5350,tcp,13
58894,sctp,7
29483,pup,10
16304,hello,13
59038,ipcomp,8
4417,egp,13
336,sctp,12
46286,pim,10
52275,xtp,15
36721,sctp,18
61947,tcp,20
17797,raw,9
65316,gre,12
32066,rsvp,5
37355,tp,6
37636,ah,6
46440,egp,7
4417,pup,10
12063,ipcomp,18
50307,gre,9
42711,idp,10
57710,tcp,15
2813,udp,20
8365,ah,7
56745,raw,12
8805,fragment,10
39744,max,11
63581,eon,10
34284,tcp,9
3317,eon,13
21093,dstopts,12
16816,tcp,7
51321,udp,14
13446,ipip,15
21471,igmp,12
50422,ipv6,7
37354,esp,10
16304,sctp,9
44505,pim,12
12641,egp,7
54588,dstopts,10
34706,ggp,10
4663,nd,8
63581,pup,5
54683,none,20
53595,icmp,13
33379,dstopts,7
54501,routing,9
61569,max,11
45369,esp,10
29177,egp,9
19573,esp,11
54588,tp,14
34932,egp,7
46924,ipcomp,17
27026,xtp,14
2425,tp,10
61303,egp,9
51321,xtp,11
49641,none,11
23054,ipcomp,8
42185,hello,10
36287,icmpv6,7
13018,icmp,14
36564,none,11
61542,dstopts,10
8517,raw,9
36287,ipcomp,6
27895,igmp,8
44644,ipv6,12
13981,ggp,9
5350,rsvp,11
12037,pim,12
21842,tcp,9
46728,icmpv6,15
12927,tp,12
46286,dstopts,11
10503,icmp,9
2450,pim,11
38855,raw,8
52645,egp,11
22664,raw,7
48950,icmp,11
14201,eon,7
42185,ah,9
38192,rsvp,10
57983,hello,7
2802,fragment,11
646,hopopts,9
8517,pup,9
57983,udp,7
10867,max,15
36347,igmp,7
12211,ah,7
46728,rsvp,9
51453,idp,13
16659,egp,12
8517,ggp,6
58674,ipv6,9
38855,nd,12
5883,hopopts,9
23425,raw,11
967,icmpv6,4
4292,hopopts,12
35226,none,10
36329,eon,10
4905,gre,17
5350,none,15
61503,ipip,13
39515,pup,5
4905,eon,9
33251,ggp,11
55329,ipcomp,10
29177,esp,10
14544,tcp,13
11347,udp,11
24496,esp,11
50462,nd,11
51321,dstopts,6
21225,igmp,5
29590,icmpv6,14
23772,ipip,6
61503,ipv6,13
30035,dstopts,6
10557,ipv6,7
19012,nd,10
967,xtp,12
12562,ipip,16
46186,idp,8
4309,raw,8
24268,tp,17
54683,fragment,10
48550,raw,13
30618,idp,7
37354,pim,9
45688,ipip,6
55567,icmp,10
53748,egp,12
58231,tcp,7
41465,eon,7
6612,tcp,8
18079,xtp,8
42304,ipip,11
4309,esp,5
10503,hello,10
44505,pup,9
48550,eon,9
22889,igmp,12
3267,hello,7
6815,rsvp,8
37277,gre,10
58902,icmpv6,10
58801,ipcomp,15
44644,routing,9
3907,eon,7
22168,sctp,5
43355,egp,7
37354,ipip,11
37354,pup,9
20443,routing,8
21442,udp,6
14032,ipip,9
63172,ipip,10
9207,dstopts,13
13936,icmp,7
5883,max,12
60847,ipip,8
18750,sctp,8
11545,max,7
39515,nd,10
33445,fragment,8
17797,rsvp,12
12360,pim,7
10503,nd,13
4417,nd,9
24268,fragment,7
24394,tp,8
9515,dstopts,7
12691,ipv6,11
36736,fragment,11
36721,tp,11
13018,pup,6
38855,icmp,8
43872,idp,12
46286,nd,14
32066,icmpv6,7
21166,ah,11
646,xtp,10
51321,icmpv6,5
17797,tp,9
53559,ggp,10
34494,egp,8
4139,hopopts,13
33251,icmpv6,13
19587,rsvp,9
25199,max,15
27026,max,9
33445,pup,12
37978,raw,11
46286,ipip,13
34416,rsvp,12
26801,ah,9
12562,hello,11
21471,pim,6
4663,ggp,15
38745,ipv6,9
46797,ipv6,7
51776,igmp,16
46440,none,8
4296,gre,9
63172,esp,6
21842,icmpv6,6
36287,esp,7
59828,ipv6,11
13107,hopopts,8
21093,icmpv6,12
58674,hello,11
12691,none,7
26880,xtp,7
62987,esp,15
30726,egp,10
26422,egp,15
24518,udp,13
65316,fragment,7
4296,icmpv6,6
14544,ggp,12
6124,eon,5
40358,xtp,9
12037,routing,15
12691,ggp,9
52275,raw,12
61648,sctp,9
42185,tp,12
41465,nd,10
21842,nd,12
8517,igmp,14
33445,icmpv6,16
44218,esp,9
42837,routing,7
28788,ggp,15
15378,nd,10
17106,ah,9
35226,tp,13
30618,ah,11
13446,esp,12
18728,ipcomp,9
10867,esp,10
48950,sctp,5
41288,rsvp,9
14032,raw,13
38409,hello,7
40710,idp,8
37978,ggp,13
39744,igmp,12
48950,hopopts,9
20852,esp,13
15308,tp,13
27311,ipcomp,13
2579,routing,11
646,tcp,11
34706,pim,11
13981,ipcomp,6
60981,icmp,9
7461,pim,9
51776,icmpv6,12
55456,xtp,12
21842,fragment,11
21225,tcp,10
24496,igmp,7
13446,ipv6,4
6057,hello,10
47362,hello,14
61569,tp,7
4139,gre,15
12936,hello,12
23772,fragment,9
63172,ipcomp,15
30071,icmp,14
34284,ipcomp,4
12691,ipip,7
14201,tcp,7
18728,sctp,9
44644,icmpv6,13
53748,tcp,12
34626,icmp,12
38745,hello,9
5350,hello,10
36721,ah,6
6057,igmp,10
42261,tcp,6
37636,hello,9
54588,rsvp,20
16349,ipcomp,8
29177,ah,11
54804,eon,7
58801,ipv6,11
30035,nd,10
5883,dstopts,11
2425,rsvp,10
33251,none,11
54501,dstopts,9
33445,esp,11
3267,esp,6
46186,sctp,13
23472,nd,8
23646,none,12
40396,ipv6,9
62987,ah,8
48276,udp,13
48294,nd,13
28522,eon,5
30230,egp,8
28522,hello,9
38192,idp,7
20630,eon,15
2985,udp,13
32973,tcp,10
58801,ggp,10
6057,fragment,9
2579,idp,14
316,pim,12
60847,dstopts,11
47869,pim,4
13981,tp,6
20852,icmpv6,13
16816,rsvp,10
30230,icmp,12
8311,max,9
46924,nd,9
36857,routing,10
61785,ah,11
4309,icmp,7
23425,eon,12
24268,pim,13
30071,none,14
30071,ipcomp,8
44215,raw,11
8365,icmp,11
52281,ggp,11
63581,ipv6,9
61947,icmp,13
43872,raw,9
58231,max,7
61569,idp,9
6815,max,10
51776,dstopts,6
61303,gre,18
28522,icmpv6,7
7611,icmp,9
17797,none,10
33379,hello,8
20553,hopopts,11
21093,icmp,8
51298,dstopts,6
8517,rsvp,12
6815,raw,6
64240,hello,9
19012,xtp,9
36564,egp,12
10503,raw,17
12936,ggp,13
50427,icmp,7
2425,idp,8
40710,xtp,12
56745,esp,5
40327,icmp,8
618,udp,9
16510,xtp,8
18246,udp,4
16349,rsvp,7
55132,dstopts,10
55305,pim,8
53559,fragment,9
43872,pim,20
47570,sctp,13
55132,pim,13
55132,pup,7
26211,routing,10
14201,nd,16
63172,idp,12
32584,ipv6,10
24762,routing,11
11347,esp,7
23663,hello,12
55132,tcp,7
41038,idp,10
19573,hopopts,10
40710,max,9
35913,idp,11
13936,tp,3
12860,ggp,10
336,raw,17
646,nd,11
15308,eon,7
16816,none,7
19699,gre,12
65316,sctp,6
14544,eon,10
31296,icmp,16
63581,raw,9
57710,xtp,9
35195,nd,8
62546,esp,11
7627,ipv6,9
15378,xtp,10
7627,icmpv6,12
42393,hello,8
54683,eon,8
43872,ipcomp,18
53682,hello,8
2985,dstopts,10
46286,tcp,11
36721,hopopts,6
50422,rsvp,18
35060,icmpv6,7
21977,tp,8
52275,routing,7
21977,ipcomp,10
37636,icmp,10
477,hopopts,12
16816,hello,7
61785,eon,8
12860,idp,14
50422,eon,9
24762,ah,4
28788,eon,10
28522,fragment,9
30230,nd,10
24495,ipcomp,6
58902,sctp,11
63996,ah,9
53559,ipv6,8
46440,sctp,8
18246,igmp,12
61837,max,8
43325,none,18
12211,ipv6,11
9515,egp,7
59828,max,8
52645,gre,11
53748,none,8
37636,nd,8
36329,udp,12
53748,ah,12
35913,raw,14
6057,sctp,7
35913,sctp,10
2813,gre,7
64749,hopopts,9
55456,nd,10
18246,ipv6,5
34494,esp,9
58801,dstopts,10
12860,icmpv6,6
61785,tcp,5
30340,sctp,7
42393,icmp,8
42185,sctp,14
5350,ah,7
18750,raw,10
39515,udp,10
62451,tp,10
21166,ipcomp,8
47362,tp,17
5350,egp,14
38745,sctp,9
53702,esp,10
21166,max,11
11545,ipcomp,11
23472,dstopts,9
3317,rsvp,7
12360,icmp,11
24495,egp,7
22889,esp,10
44215,udp,10
50307,igmp,10
46728,max,7
65288,ggp,11
55329,icmpv6,11
54804,routing,12
26880,hopopts,11
43661,hopopts,13
24495,tp,7
31018,sctp,13
42304,egp,9
24518,pim,13
62987,raw,14
51321,egp,6
53748,igmp,11
23923,fragment,6
32088,idp,8
45204,hopopts,10
20852,ah,6
12936,icmpv6,7
34587,xtp,9
26502,ah,11
6124,hopopts,9
19012,ggp,10
34973,eon,8
48550,hopopts,12
20554,ah,12
48276,sctp,9
12641,igmp,10
40396,fragment,11
26422,tp,8
34706,icmpv6,6
11490,gre,2
28072,xtp,14
55456,pup,7
48294,hopopts,15
51321,tcp,11
6057,max,14
42837,gre,8
8845,idp,14
52381,nd,9
34587,egp,11
4905,sctp,10
10784,ipv6,5
27311,raw,10
3267,tcp,12
24518,routing,8
58894,icmpv6,11
23472,xtp,8
41288,ipv6,6
61503,dstopts,9
61303,none,8
39744,raw,8
32066,none,11
33251,nd,10
37978,pup,9
10503,sctp,9
7611,gre,5
54518,pim,14
42974,none,11
22464,egp,9
32088,esp,9
10392,icmp,7
42393,fragment,12
55132,udp,8
63996,idp,11
65288,xtp,8
30726,pim,9
9200,udp,7
61648,tcp,10
8311,icmp,5
477,tp,6
2579,tcp,11
56744,pim,13
8263,pim,8
22168,idp,8
42261,rsvp,10
29177,eon,19
22168,max,17
646,none,10
62546,max,8
8915,ipip,6
27311,ah,7
20554,pim,13
10557,eon,8
49641,pim,12
49185,ipv6,9
53731,tcp,12
18750,icmpv6,12
14544,icmpv6,16
36721,none,18
47869,dstopts,12
47362,idp,8
23923,dstopts,8
34587,nd,14
32584,pup,8
30340,max,11
33251,igmp,11
52281,none,11
45688,hello,12
42185,pim,9
51301,max,7
4905,ipcomp,10
38745,tp,6
42185,dstopts,9
13107,ipip,7
62546,nd,5
33395,idp,10
33395,tp,13
7535,routing,12
62546,ggp,7
33251,udp,12
51321,max,8
13018,ah,10
30071,pup,12
21166,nd,4
60847,esp,7
35060,nd,11
36564,esp,9
54501,eon,11
53682,ah,6
21977,egp,7
55567,max,8
39744,rsvp,8
4663,ipip,6
52381,ggp,9
6815,ipip,10
12037,tp,12
55187,tp,15
51453,nd,12
46440,gre,10
13446,icmpv6,11
30618,igmp,6
30732,tp,6
52,ipcomp,6
48276,hello,13
38855,pim,8
26217,icmp,9
63581,gre,15
17106,rsvp,10
33251,max,8
55138,igmp,8
23923,icmp,9
18246,fragment,16
23772,ipv6,7
8915,sctp,10
6796,pup,5
8365,ggp,7
56744,routing,13
48550,ipv6,10
34416,igmp,10
13981,eon,11
646,ipcomp,9
41038,tcp,8
24394,egp,8
33251,xtp,10
59577,tp,14
28788,dstopts,12
57764,pup,15
2813,tcp,11
2855,none,10
52381,raw,8
27895,routing,10
58191,raw,15
45532,idp,7
61837,ipv6,13
15308,ipcomp,4
37354,none,10
23969,ggp,12
54804,esp,12
3907,tcp,14
8263,ipcomp,11
20630,hello,10
23646,hopopts,4
2855,max,8
58894,eon,8
31917,routing,11
47570,pim,13
35195,ipcomp,10
18079,pim,9
4417,rsvp,9
20453,igmp,8
34587,idp,7
35913,ipip,9
60847,igmp,10
58674,ipip,10
21225,xtp,12
967,fragment,6
53595,hopopts,14
35913,ggp,10
23054,raw,13
21842,udp,8
40327,nd,8
23425,udp,12
5350,sctp,13
19573,ipcomp,12
31917,sctp,8
10392,idp,6
50422,gre,6
55187,max,4
18728,eon,9
51301,ipip,10
49185,idp,8
5883,hello,7
39255,eon,15
21442,nd,13
21842,ah,6
20443,pim,9
646,raw,8
7461,sctp,8
61785,egp,10
53731,none,13
30726,ggp,10
58191,routing,7
10784,gre,14
60847,hopopts,7
57983,hopopts,10
49966,gre,12
52281,dstopts,8
59038,icmp,8
9207,none,12
18246,routing,8
30340,xtp,8
20554,udp,9
14032,hello,14
16510,ipv6,16
40358,nd,10
52381,tcp,15
34284,hopopts,7
50462,sctp,8
35195,rsvp,8
44505,ipv6,8
23054,eon,4
40316,fragment,3
40358,raw,10
51298,tp,12
42261,tp,4
12691,igmp,10
38409,rsvp,7
34626,egp,7
2802,icmpv6,7
30618,tp,10
9200,none,15
12360,igmp,10
34416,udp,6
32973,ipcomp,7
37277,igmp,6
37355,gre,9
57983,tcp,9
45532,egp,7
21842,dstopts,7
51301,igmp,9
26217,ipip,8
16816,ggp,11
52,hopopts,10
618,none,8
64749,hello,9
18246,hopopts,5
19699,pim,15
37636,none,13
6796,nd,5
28979,rsvp,17
14544,esp,11
63733,fragment,14
43661,gre,11
55648,pim,12
57789,dstopts,8
52275,icmp,14
61303,sctp,15
17797,igmp,8
55138,fragment,9
49185,hopopts,6
55567,none,12
34973,idp,11
36287,fragment,11
20630,gre,7
19699,max,9
50307,nd,8
36564,pim,12
46728,igmp,7
21225,icmpv6,7
59718,gre,7
53185,hello,11
22464,dstopts,11
44215,icmp,7
21225,ggp,11
35086,ah,9
61785,none,7
6124,tp,8
6409,sctp,13
20453,ggp,11
27295,sctp,10
57710,fragment,13
6057,ipip,8
52645,esp,11
18728,icmpv6,16
12927,dstopts,15
49185,icmp,4
24762,ggp,15
7535,ipip,11
38855,udp,7
37277,nd,11
59038,tp,8
12063,rsvp,8
21842,idp,9
6815,gre,11
19193,sctp,12
47570,dstopts,11
47869,gre,9
59577,gre,13
12927,nd,14
65316,pim,8
7611,none,9
35195,routing,10
52381,ipcomp,16
6124,ah,12
27026,raw,6
24394,tcp,10
32973,dstopts,9
7611,idp,11
27295,max,11
65288,udp,12
53559,tcp,15
58674,ah,14
64240,ah,12
44484,max,6
34932,raw,12
13936,nd,12
58231,pim,13
64749,max,10
41288,fragment,8
9515,esp,5
55132,sctp,10
6278,icmp,8
7627,ah,6
29483,nd,8
53559,rsvp,8
19573,gre,8
5350,ipip,14
59828,nd,13
6124,tcp,7
48276,igmp,11
49641,fragment,13
37285,tp,9
7687,rsvp,7
62451,gre,10
2855,ah,10
34587,ah,6
57789,icmpv6,9
4905,tcp,4
59718,raw,8
23646,ipip,9
41288,ipcomp,9
6796,igmp,13
646,fragment,12
23425,icmp,7
27895,tp,16
48276,tcp,9
33379,egp,4
55648,tcp,9
60981,none,9
6565,ipcomp,9
6409,icmpv6,6
58894,hopopts,7
11347,routing,9
34626,ggp,9
30230,icmpv6,10
12860,none,5
63733,icmpv6,12
37737,pim,7
5868,sctp,11
29177,gre,13
59828,pup,7
12936,hopopts,9
62546,ipip,9
13446,eon,9
44215,tp,9
18750,ggp,14
646,udp,10
47239,idp,12
6612,hello,13
646,ggp,7
26217,tcp,14
19193,dstopts,7
34587,fragment,9
55305,udp,10
54501,igmp,8
42304,dstopts,7
31917,icmp,13
59828,igmp,7
46797,esp,9
28979,esp,12
2920,rsvp,13
64240,routing,13
14693,ipcomp,9
28522,ipv6,10
36736,hello,8
25199,tp,4
50427,ipv6,17
2450,none,11
42711,egp,6
62987,pup,15
26801,esp,11
57710,pup,6
316,hopopts,13
46186,routing,4
51298,esp,12
9200,ipv6,15
62987,rsvp,8
54683,tp,5
477,none,8
21842,eon,8
33445,pim,10
48950,none,16
10392,ipv6,3
37737,igmp,7
62987,nd,17
55132,tp,9
37636,egp,8
45532,dstopts,3
19699,hopopts,9
15378,max,7
12063,hello,6
967,icmp,8
30618,gre,6
57983,icmp,12
967,esp,7
61837,rsvp,11
10392,igmp,10
12063,igmp,8
50307,eon,8
46286,fragment,9
17106,eon,8
9200,routing,8
20443,nd,12
45688,pup,12
45369,ipip,9
53748,sctp,12
6409,pup,10
12416,max,12
16304,tcp,9
62398,xtp,8
10557,gre,8
18728,rsvp,12
50422,sctp,11
2813,routing,4
18728,dstopts,9
35086,fragment,8
19193,igmp,4
18728,icmp,13
55648,ggp,9
4309,eon,12
52281,egp,10
61648,ah,11
13018,icmpv6,8
23663,none,8
59561,icmpv6,6
41288,icmpv6,9
24495,none,10
7687,hopopts,14
49185,udp,7
56744,egp,6
23425,pim,7
12360,hopopts,12
61785,sctp,7
15308,xtp,12
50462,gre,6
24394,dstopts,12
7535,tcp,9
9207,icmpv6,7
2802,tcp,8
49641,ipip,9
7627,dstopts,12
42837,xtp,8
47570,gre,3
46728,routing,13
24495,pup,4
28788,sctp,7
57789,hopopts,9
48550,rsvp,6
21471,ipip,10
59561,raw,10
39744,sctp,12
30340,eon,11
11545,tcp,5
23054,routing,8
48276,pim,9
10784,ggp,13
46728,idp,13
6278,hopopts,6
12641,pup,9
21977,pup,7
31917,pim,10
6409,xtp,9
55567,egp,8
35060,igmp,10
42304,rsvp,12
6124,icmp,8
40327,ipv6,12
46440,icmpv6,8
29177,routing,9
2450,dstopts,6
34626,pup,7
20852,gre,9
42185,ipcomp,14
3267,udp,10
3317,ah,13
2425,icmpv6,6
52645,idp,10
27295,ipv6,9
41465,udp,9
54588,ipcomp,9
45688,routing,6
34706,eon,14
8263,ggp,7
47570,ipip,10
55132,ipcomp,8
47570,tcp,12
31917,hello,8
2425,egp,6
34416,ipcomp,14
53702,hello,9
54518,dstopts,15
57789,routing,10
23425,ipv6,12
8311,ipcomp,14
37354,ah,10
2425,igmp,7
23923,pup,6
316,ipcomp,11
37277,rsvp,6
45244,dstopts,9
6278,ipv6,7
46286,rsvp,11
30071,max,17
2920,xtp,7
21093,ah,9
13018,pim,10
42974,raw,10
43355,icmpv6,5
30035,rsvp,9
33445,xtp,11
42639,eon,11
22464,eon,14
54804,ipcomp,7
32088,pup,13
8311,hello,8
34626,none,8
23472,pup,12
55456,gre,8
14201,pup,7
4417,esp,7
36329,icmpv6,6
61569,gre,12
